name,city,countryOne,code,lat,lon,type,countryTwo,id
Repulse Bay Airport,Repulse Bay,Canada,YUT,66.52140045,-86.22470093,air,,1a402726-ef1b-4491-ae34-b0a7144380a4
Hall Beach Airport,Hall Beach,Canada,YUX,68.77610016,-81.2425,air,,b12c92ac-2112-4fe3-b0b1-934b02624922
Rouyn Noranda Airport,Rouyn,Canada,YUY,48.20610046,-78.83560181,air,,b06ef7fb-a06a-45bf-82ec-d1ac1f945fb9
La Ronge Airport,La Ronge,Canada,YVC,55.15140152,-105.262001,air,,1073030d-9d0f-4d5e-b90d-764333ef830a
Vermilion Airport,Vermillion,Canada,YVG,53.35580063,-110.8239975,air,,874cd6e2-0c21-45c5-99cc-00f8924b2312
Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,67.54579926,-64.03140259,air,,8fea2c2c-8dd1-4df7-b5fc-b293a82911ab
Val-d'Or Airport,Val D'or,Canada,YVO,48.05329895,-77.78279877,air,,3e615f31-e6fd-4f2d-b3b9-23f0b609d348
Kuujjuaq Airport,Quujjuaq,Canada,YVP,58.09609985,-68.42690277,air,,62401805-bb7e-40c2-8016-c42343d82f7c
Norman Wells Airport,Norman Wells,Canada,YVQ,65.28160095,-126.7979965,air,,93f966bd-f9b7-447a-85a2-859d72b73b68
Vancouver International Airport,Vancouver,Canada,YVR,49.19390106,-123.1839981,air,,131b050c-7b3a-4d34-b72d-ea094b79c76e
Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,55.84189987,-108.4179993,air,,9213291f-b9b6-4604-bfb6-89cb7c034c85
Wiarton Airport,Wiarton,Canada,YVV,44.7458,-81.107201,air,,caf2391e-47b8-4280-9946-28ebd6afcd14
Petawawa Airport,Petawawa,Canada,YWA,45.95220184,-77.31919861,air,,f1627f6e-1a5a-49ed-8c93-e5cedbfaf282
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,49.90999985,-97.23989868,air,,d2985727-66c7-4431-abfe-3ec67a1f036d
Wabush Airport,Wabush,Canada,YWK,52.9219017,-66.86440277,air,,b0ada311-7b3a-40d0-b77f-160f669ae8a7
Williams Lake Airport,Williams Lake,Canada,YWL,52.18310165,-122.0540009,air,,6c0961fd-7c64-43cf-8813-d7ecdcc67189
Wrigley Airport,Wrigley,Canada,YWY,63.20940018,-123.4369965,air,,7ba91082-84e2-42ca-8273-a01aa925e1b6
Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,49.6108017,-115.7819977,air,,1aadf3e0-0752-4e07-8e1b-7c6ea43ec733
Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,53.57249832,-113.5210037,air,,e8caf3c3-cfe4-445a-8f79-4d12eebee315
